Sr. No.,Thickness,Pattern,Stress,Strain
1,0.12,Cubic,0.279166667,0
2,0.12,Cubic,0.420833333,0.0008
3,0.12,Cubic,0.525,0.0012
4,0.12,Cubic,0.766666667,0.0016
5,0.12,Cubic,0.9125,0.002
6,0.12,Cubic,1.216666667,0.0024
7,0.12,Cubic,1.408333333,0.0028
8,0.12,Cubic,1.591666667,0.0032
9,0.12,Cubic,1.779166667,0.0036
10,0.12,Cubic,1.966666667,0.004
11,0.12,Cubic,2.333333333,0.0044
12,0.12,Cubic,2.7,0.0052
13,0.12,Cubic,2.883333333,0.0056
14,0.12,Cubic,3.25,0.006
15,0.12,Cubic,3.4375,0.0064
16,0.12,Cubic,3.616666667,0.0068
17,0.12,Cubic,3.791666667,0.0072
18,0.12,Cubic,4.15,0.0076
19,0.12,Cubic,4.504166667,0.0084
20,0.12,Cubic,4.679166667,0.0088
21,0.12,Cubic,4.85,0.0092
22,0.12,Cubic,5.020833333,0.0096
23,0.12,Cubic,5.1875,0.01
24,0.12,Cubic,5.495833333,0.0104
25,0.12,Cubic,5.604166667,0.0108
26,0.12,Cubic,5.683333333,0.0112
27,0.12,Cubic,5.8,0.0116
28,0.12,Cubic,5.8625,0.0124
29,0.12,Cubic,5.991666667,0.0128
30,0.12,Cubic,6.058333333,0.0132
31,0.12,Cubic,6.225,0.0136
32,0.12,Cubic,6.354166667,0.014
33,0.12,Cubic,6.508333333,0.0144
34,0.12,Cubic,6.679166667,0.0148
35,0.12,Cubic,7.029166667,0.0152
36,0.12,Cubic,7.2,0.0156
37,0.12,Cubic,7.375,0.016
38,0.12,Cubic,7.545833333,0.0164
39,0.12,Cubic,7.891666667,0.0168
40,0.12,Cubic,8.066666667,0.0172
41,0.12,Cubic,8.233333333,0.0176
42,0.12,Cubic,8.4,0.018
43,0.12,Cubic,8.733333333,0.0184
44,0.12,Cubic,8.904166667,0.0188
45,0.12,Cubic,9.241666667,0.0192
46,0.12,Cubic,9.570833333,0.02
47,0.12,Cubic,9.720833333,0.0204
48,0.12,Cubic,9.891666667,0.0208
49,0.12,Cubic,10.05416667,0.0212
50,0.12,Cubic,10.22916667,0.0216
51,0.12,Cubic,10.54583333,0.022
52,0.12,Cubic,10.70416667,0.0224
53,0.12,Cubic,10.85416667,0.0228
54,0.12,Cubic,11.175,0.0232
55,0.12,Cubic,11.35416667,0.024
56,0.12,Cubic,11.68333333,0.0244
57,0.12,Cubic,11.84166667,0.0248
58,0.12,Cubic,12.00833333,0.0252
59,0.12,Cubic,12.18333333,0.0256
60,0.12,Cubic,12.35416667,0.026
61,0.12,Cubic,12.525,0.0264
62,0.12,Cubic,12.85833333,0.0268
63,0.12,Cubic,13.02083333,0.0272
64,0.12,Cubic,13.17916667,0.0276
65,0.12,Cubic,13.3375,0.028
66,0.12,Cubic,13.49583333,0.0284
67,0.12,Cubic,13.8,0.0288
68,0.12,Cubic,13.94583333,0.0292
69,0.12,Cubic,14.0875,0.0296
70,0.12,Cubic,14.36666667,0.03
71,0.12,Cubic,14.5,0.0304
72,0.12,Cubic,14.75833333,0.0308
73,0.12,Cubic,14.87916667,0.0312
74,0.12,Cubic,15.00833333,0.0316
75,0.12,Cubic,15.14166667,0.032
76,0.12,Cubic,15.27083333,0.0324
77,0.12,Cubic,15.52916667,0.0328
78,0.12,Cubic,15.65833333,0.0332
79,0.12,Cubic,15.8,0.0336
80,0.12,Cubic,15.93333333,0.034
81,0.12,Cubic,16.2125,0.0344
82,0.12,Cubic,16.35,0.0348
83,0.12,Cubic,16.4875,0.0352
84,0.12,Cubic,16.625,0.0356
